,0,1,2,3,4,5,6,7,8,9,10,11
1,yihV,yihS,yigG,yieK,yicO,sgbU,hdeB,yhhT,gspL,yjbO,eptA,yicN
2,JW5651,JW5670,JW5945,JW5696,JW5706,JW5731,JW5571,JW5601,JW5641,JW5654,JW5663,JW5672
3,yiaN,yhiD,yhhS,yhfY,gspI,adiA,bipA,wzzE,ttk,yiaB,bcsF,yhiQ
4,JW5682,JW5697,JW5949,JW5718,JW5732,JW5631,JW5643,JW5655,JW5941,JW5674,JW5683,JW5698
5,dcrB,yhfU,yrdD,yjcB,yjdO,cbrA,yicR,yiaF,yhjQ,yhiK,yhhL,frlR
6,JW5711,JW5734,JW5574,JW5605,JW5644,JW5656,JW5665,JW5700,JW5735,JW5580,JW5609,JW5633
7,yjbF,dipZ,yihF,ilvD,htrL,tiaE,bcsA,frlB,dcuA,tatB,trkD,yidQ
8,JW5645,JW5940,JW5942,JW5676,JW5691,JW5701,JW5713,wild_type,JW5721,JW5736,JW5588,JW5611
9,yibQ,bisC,bcsC,rbbA,gntX,yhfK,ubiC,wild_type,yjcS,yjeI,yigI,atpI
10,JW5634,JW5648,JW5659,JW5943,JW5677,JW5692,JW5703,JW5714,JW5737,JW5589,JW5612,JW5660
11,emrD,yiaY,yhjY,yhjK,yhhJ,hslO,yheO,zur,ecnA,rarD,yieL,eptB
12,JW5668,JW5694,wild_type,JW5704,JW5950,JW5729,JW5738,JW5739,JW5764,JW5778,JW5791,JW5801
13,kdgK,yrfA,wild_type,gspM,yjbN,yjcZ,sugE,yjeM,yjgX,yjhA,yjiY,yjjX
14,JW5925,JW5576,JW5627,JW5954,JW5010,JW5022,JW5741,JW5753,JW5779,JW5793,JW0478,wild_type
15,yghJ,trkH,dgoR,yjiV,yadD,yafX,rnr,ytfT,fimI,yjjN,ybbK,wild_type
0,JW5487,JW5931,JW5628,JW5213,JW5012,JW5023,JW5743,JW5754,JW5794,JW2879,JW5500,JW5629
1,glcE,tatD,dgoA,rzoR,clcA,ykfF,yjfO,yjfF,mdoB,ygfA,yqhG,dgoD
2,JW5013,JW5744,JW5756,JW5768,JW5782,JW5795,wild_type,JW4263,JW5501,JW5585,JW5699,JW5382
